id,value
Alamo.89001,3403.00
Alhambra.91803,179.00
Amargosa Valley.89020,2809.95
Ann Arbor.48103,267.00
Apache Junction.85119,124.00
Arkport.14807,160.00
Arvada.80005,465.00
As Vegas.89145,355.00
Ash Fork.86320,480.00
Aztec.87410,250.00
Bakersfield.93304,636.00
Battle Mountain.89822,3586.81
Blue Diamnod.89004,255.00
Boulder City.89005,36754.21
Boulder City.89006,929.50
Boutte.70039,330.00
Bozeman.59718,6421.00
Brea.92823,370.00
Bristol.02809,215.00
Broadview Heights.44147,256.00
Bullhead City.86426,171.00
Bullhead City.86429,517.00
Bullhead City.86442,815.00
Bunkerville.89007,155.00
Cal Nev Ari.89039,250.00
Calexico.92232,375.00
Calgary.T3H4N,173.00
Caliente.89008,267.00
Canyon Country.91386,1961.00
Carbondale.81623,124.00
Cerritos.90703,507.00
Charlottesville.22901,215.00
Chloride.86431,668.00
Chula Vista.91910,124.00
Clio.96106,267.00
Colorado Springs.80920,3402.00
Colton.92324,355.00
Columbus.43085,215.00
Columbus.43209,215.00
Corona.92882,256.00
Crestview.32536,1877.00
Dallas.75229,130.00
Dallas.75248,124.00
Decatur.62526,195.00
Detroit.48202,415.00
Dolan Springs.86441,1315.00
Durham.27713,370.00
Eatontown.07724,126.00
Elko.89801,106.34
Elko.89802,3290.00
Elko.89803,1675.00
Ely.89301,2800.00
Ely.89315,215.00
Escondido.92026,100.00
Fallston.21047,210.00
Fort Lauderdale.33319,215.00
Fort Mohave.86426,1082.00
Fredericksburg.22406,126.00
Fullerton.92835,0.00
Gabbs.89409,265.00
Gardnerville.89410,958.00
Glen Rock.07452,130.00
Golden Valley.86413,210.00
Goldfield.89013,230.00
Gordon.54838,297.00
Grand Canyon.86023,477.00
Green Valley.85614,215.00
Hackberry.86411,2000.00
Henderson.89002,51096.88
Henderson.89009,2461.00
Henderson.89011,39310.92
Henderson.89011,560.00
Henderson.89012,27337.50
Henderson.89014,52960.52
Henderson.89014,597.00
Henderson.89015,76198.05
Henderson.89015,190.40
Henderson.89016,115.00
Henderson.89044,27575.97
Henderson.89052,89099.36
Henderson.89052,0.00
Henderson.89053,1529.00
Henderson.89074,60729.54
Henderson.89077,1171.00
Henderson.89102,226.00
Henderson.89105,1844.00
Henderson.89123,275.00
Hermitage.37076,179.00
Holden.84636,507.00
Hurricane.84737,220.00
Hurst.76054,215.00
Indian Springs.89018,830.00
Indian Springs.89070,5325.00
Indian Springs.89070,427.00
Kalispell.59901,160.00
Kent.98042,160.00
Kershaw.29067,345.00
Kihei.96753,515.00
Kingman.86401,12774.00
Kingman.86409,8338.00
La Jolla.92037,215.00
Lake Elsinore.92532,287.00
Lake Havasu.86406,570.00
Las  Vegas.89103,6156.00
Las  Vegas.89108,534.00
Las Vegas.89018,548.00
Las Vegas.89031,176.00
Las Vegas.89044,601.00
Las Vegas.89081,155.00
Las Vegas.89081,28824.53
Las Vegas.89084,3646.00
Las Vegas.89101,128376.37
Las Vegas.89101,100.00
Las Vegas.89102,215816.12
Las Vegas.89102,160.00
Las Vegas.89102,672.00
Las Vegas.89102,940.00
Las Vegas.89102,176.00
Las Vegas.89102,420.00
Las Vegas.89103,446030.65
Las Vegas.89103,160.00
Las Vegas.89103,160.00
Las Vegas.89103,215.00
Las Vegas.89103,558.50
Las Vegas.89103,160.00
Las Vegas.89103,160.00
Las Vegas.89104,169903.99
Las Vegas.89104,538.00
Las Vegas.89105,475.00
Las Vegas.89106,117341.97
Las Vegas.89106,100.00
Las Vegas.89107,231933.56
Las Vegas.89107,801.00
Las Vegas.89107,320.00
Las Vegas.89107,655.00
Las Vegas.89108,287148.91
Las Vegas.89108,280.00
Las Vegas.89109,36168.60
Las Vegas.89109,593.00
Las Vegas.89110,272404.04
Las Vegas.89111,303.00
Las Vegas.89112,3178.00
Las Vegas.89112,250.00
Las Vegas.89113,63394.93
Las Vegas.89113,160.00
Las Vegas.89113,160.00
Las Vegas.89113,705.00
Las Vegas.89113,160.00
Las Vegas.89113,767.00
Las Vegas.89114,4691.00
Las Vegas.89114,604.00
Las Vegas.89115,148507.74
Las Vegas.89115,574.00
Las Vegas.89115,280.00
Las Vegas.89115,115.00
Las Vegas.89116,3079.00
Las Vegas.89117,273104.74
Las Vegas.89117,755.00
Las Vegas.89117,280.00
Las Vegas.89117,215.00
Las Vegas.89117,451.00
Las Vegas.89117,176.00
Las Vegas.89117,489.00
Las Vegas.89117,265.00
Las Vegas.89117,380.00
Las Vegas.89117,385.00
Las Vegas.89118,94048.11
Las Vegas.89118,276.00
Las Vegas.89118,386.00
Las Vegas.89118,605.51
Las Vegas.89118,775.00
Las Vegas.89119,110866.52
Las Vegas.89119,192.00
Las Vegas.89119,390.00
Las Vegas.89119,187.00
Las Vegas.89120,49500.35
Las Vegas.89120,464.00
Las Vegas.89120,5960.00
Las Vegas.89121,191814.45
Las Vegas.89121,295.00
Las Vegas.89121,289.87
Las Vegas.89121,530.00
Las Vegas.89122,125037.50
Las Vegas.89122,210.00
Las Vegas.89122,210.00
Las Vegas.89123,130413.81
Las Vegas.89123,190.00
Las Vegas.89124,622.00
Las Vegas.89125,1741.00
Las Vegas.89126,1914.00
Las Vegas.89127,930.00
Las Vegas.89128,86855.20
Las Vegas.89128,160.00
Las Vegas.89128,622.00
Las Vegas.89129,132254.27
Las Vegas.89130,79269.93
Las Vegas.89130,656.00
Las Vegas.89130,410.00
Las Vegas.89131,101316.47
Las Vegas.89131,720.00
Las Vegas.89132,1118.00
Las Vegas.89133,6062.00
Las Vegas.89133,934.00
Las Vegas.89134,82742.58
Las Vegas.89134,922.00
Las Vegas.89134,160.00
Las Vegas.89134,336.00
Las Vegas.89135,67186.25
Las Vegas.89136,1762.00
Las Vegas.89137,1492.00
Las Vegas.89138,41443.00
Las Vegas.89138,985.00
Las Vegas.89138,3462.00
Las Vegas.89139,85947.10
Las Vegas.89139,330.00
Las Vegas.89139,430.00
Las Vegas.89140,9253.00
Las Vegas.89141,47068.45
Las Vegas.89141,230.00
Las Vegas.89142,67108.30
Las Vegas.89142,350.00
Las Vegas.89142,881.50
Las Vegas.89143,21498.50
Las Vegas.89144,56937.00
Las Vegas.89144,568.00
Las Vegas.89145,125764.33
Las Vegas.89145,160.00
Las Vegas.89145,527.00
Las Vegas.89145,415.00
Las Vegas.89145,490.00
Las Vegas.89146,200397.69
Las Vegas.89146,220.00
Las Vegas.89147,211915.06
Las Vegas.89147,1213.00
Las Vegas.89147,160.00
Las Vegas.89148,113550.73
Las Vegas.89148,260.00
Las Vegas.89148,160.00
Las Vegas.89149,70143.00
Las Vegas.89149,1176.00
Las Vegas.89149,115.00
Las Vegas.89149,160.00
Las Vegas.89149,445.00
Las Vegas.89155,265.00
Las Vegas.89156,116380.23
Las Vegas.89156,320.00
Las Vegas.89157,570.00
Las Vegas.89159,585.00
Las Vegas.89161,1264.00
Las Vegas.89162,4727.50
Las Vegas.89163,754.00
Las Vegas.89165,250.00
Las Vegas.89166,32095.08
Las Vegas.89169,58736.50
Las Vegas.89169,165.00
Las Vegas.89169,176.00
Las Vegas.89170,1047.00
Las Vegas.89173,1906.00
Las Vegas.89178,52717.83
Las Vegas.89178,290.00
Las Vegas.89178,300.00
Las Vegas.89178,555.00
Las Vegas.89179,17364.88
Las Vegas.89179,176.00
Las Vegas.89180,4841.00
Las Vegas.89180,336.00
Las Vegas.89183,53461.34
Las Vegas.89183,714.00
Las Vegas.89183,297.00
Las Vegas.89183,347.00
Las Vegas.89189,344.50
Las Vegas.89193,3270.00
Las Vegas.98107,895.00
Laughlin.89028,267.00
Laughlin.89029,1025.00
Logandale.89021,3176.00
Los Angeles.90008,115.00
Los Angeles.90018,595.00
Los Angeles.90046,121.00
Los Angeles.90056,967.00
Los Angeles.90069,100.00
Mableton.30126,160.00
Mashpee.02649,176.00
Meadview.86444,440.00
Mesquite.89024,250.00
Mesquite.89027,3761.00
Mesquite.89027,3235.00
Milford.06461,180.00
Missoula.59803,659.00
Moapa Valley.89025,642.00
Moapa.89025,6430.00
Mohave Valley.86446,336.00
Montgomery Village.20886,487.00
N Las Vegas.89030,5798.50
N Las Vegas.89031,510.00
N Las Vegas.89032,813.00
N Las Vegas.89081,330.00
N Las Vegas.89086,2797.44
Naknek.99633,507.00
Nellis AFB.89191,730.00
Newport.99156,172.50
No Las Vegas.89031,210.00
North Las Vegas.89030,164030.83
North Las Vegas.89031,164545.79
North Las Vegas.89031,15.00
North Las Vegas.89031,1412.49
North Las Vegas.89032,166561.93
North Las Vegas.89032,100.00
North Las Vegas.89032,160.00
North Las Vegas.89032,558.00
North Las Vegas.89032,480.00
North Las Vegas.89033,1135.50
North Las Vegas.89036,2467.00
North Las Vegas.89081,57832.00
North Las Vegas.89084,56459.09
North Las Vegas.89084,160.00
North Las Vegas.89085,20717.00
North Las Vegas.89085,215.00
North Las Vegas.89086,6566.00
North Las Vegas.89130,3254.00
North Myrtle Beach.29582,755.00
Olivehurst.95961,104.00
Orlando.32801,525.00
orth Las Vegas.89031,160.00
Overton.89040,4565.00
Pahrump.89041,1020.00
Pahrump.89048,10879.59
Pahrump.89048,176.00
Pahrump.89060,11879.00
Pahrump.89061,5216.00
Pahrump.89061,275.00
Pahrump.89061,165.00
Pasadena.91103,75.00
Pensacola.32534,265.00
Phoenix.85063,452.50
Phoenix.85082,3407.00
Plainfield.60586,180.00
Poland.30610,230.00
Primm.89019,1035.00
Reno.89502,1250.00
Reno.89523,380.00
Rocklin.95677,328.00
Ruby Valley.89833,215.00
Sacramento.95833,215.00
Saint George.84770,550.00
San Diego.92131,215.00
San Pedro.90731,730.00
Sandy Valley.89019,589.00
Sandy Valley.89119,321.00
Santaquin.84655,420.00
Searchlight.89046,1136.00
Seligman.86337,215.00
Sherman Oaks.91423,215.00
Sisseton.57262,210.00
Sparks.89436,365.00
Sturgis.57785,267.00
Sun Valley.89433,171.00
Tacoma.98405,130.00
Temecula.92592,330.00
Tinley Park.60487,130.00
Tonopah.89049,712.00
Washington.84780,349.00
Yucca.86438,1132.50